category,text
ham,go jurong point crazi avail bugi n great world la e buffet cine got amor wat
ham,ok lar joke wif u oni
spam,free entri 2 wkli comp win fa cup final tkts 21st may 2005 text fa 87121 receiv entri questionstd txt ratetc appli 08452810075over18
ham,u dun say ear hor u c alreadi say
ham,nah dont think goe usf live around though
spam,freemsg hey darl 3 week word back id like fun still tb ok xxx std chgs send å£150 rcv
ham,even brother like speak treat like aid patent
ham,per request mell mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun
spam,winner valu network custom select receivea å£900 prize reward claim call 09061701461 claim code kl341 valid 12 hour
spam,mobil 11 month u r entitl updat latest colour mobil camera free call mobil updat co free 08002986030
ham,im gonna home soon dont want talk stuff anymor tonight k ive cri enough today
spam,six chanc win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6day 16 tsandc appli repli hl 4 info
spam,urgent 1 week free membership å£100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18
ham,ive search right word thank breather promi wont take help grant fulfil promi wonder bless time
ham,date sunday
spam,xxxmobilemovieclub use credit click wap link next txt messag click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
ham,oh kim watch
ham,eh u rememb 2 spell name yes v naughti make v wet
ham,fine thatåõ way u feel thatåõ way gota b
spam,england v macedonia dont miss goalsteam news txt ur nation team 87077 eg england 87077 trywal scotland 4txtì¼120 poboxox36504w45wq 16
ham,serious spell name
ham,iû÷m go tri 2 month ha ha joke
ham,ì pay first lar da stock comin
ham,aft finish lunch go str lor ard 3 smth lor u finish ur lunch alreadi
ham,ffffffffff alright way meet sooner
ham,forc eat slice im realli hungri tho suck mark get worri know im sick turn pizza lol
ham,lol alway convinc
ham,catch bus fri egg make tea eat mom left dinner feel love
ham,im back amp pack car ill let know room
ham,ahhh work vagu rememb feel like lol
ham,wait still clear sure sarcast x doesnt want live us
ham,yeah got 2 v apologet n fallen actin like spoilt child got caught till 2 wont go bad cheer
ham,k tell anyth
ham,fear faint housework quick cuppa
spam,thank subscript rington uk mobil charg å£5month plea confirm repli yes repli charg
ham,yup ok go home look time msg ì xuhui go learn 2nd may lesson 8am
ham,oop ill let know roommat done
ham,see letter b car
ham,anyth lor u decid
ham,hello saturday go text see youd decid anyth tomo im tri invit anyth
ham,pls go ahead watt want sure great weekend abiola
ham,forget tell want need crave love sweet arabian steed mmmmmm yummi
spam,07732584351 rodger burn msg tri call repli sms free nokia mobil free camcord plea call 08000930705 deliveri tomorrow
ham,see
ham,great hope like man well endow ltgt inch
ham,callsmessagesmiss call
ham,didnt get hep b immuni nigeria
ham,fair enough anyth go
ham,yeah hope tyler cant could mayb ask around bit
ham,u dont know stubborn didnt even want go hospit kept tell mark im weak sucker hospit weak sucker
ham,think first time saw class
ham,gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt
ham,k fyi x ride ear tomorrow morn hes crash place tonight
ham,wow never realiz embarass accomod thought like sinc best could alway seem happi cave im sorri didnt dont give im sorri offer im sorri room embarass
spam,sms ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
ham,know mallika sherawat yesterday find lturlgt
spam,congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45w 150pm dont miss
ham,sorri ill call later meet
ham,tell reach
ham,yesgauti sehwag odi seri
ham,gonna pick 1 burger way home cant even move pain kill
ham,ha ha ha good joke girl situat seeker
ham,part check iq
ham,sorri roommat took forev ok come
ham,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice
spam,valu custom plea advi follow recent review mob award å£1500 bonus prize call 09066364589
ham,today song dedic day song u dedic send ur valuabl frnds first rpli
spam,urgent ur award complimentari trip eurodisinc trav acoentry41 å£1000 claim txt dis 87121 186å£150morefrmmob shracomorsglsuplt10 ls1 3aj
spam,hear new divorc barbi come ken stuff
ham,plane give month end
ham,wah lucki man save money hee
ham,finish class
ham,hi babe im home wanna someth xx
ham,kkwhere youhow perform
ham,u call
ham,wait machan call free
ham,cool gentleman treat digniti respect
ham,like peopl much shi pa
ham,oper ltgt
ham,still look job much tas earn
ham,sorri ill call later
ham,k call ah
ham,ok way home hi hi
ham,place man
ham,yup next stop
ham,call later dont network urgnt sms
ham,real u get yo need 2 ticket one jacket im done alreadi use multi
ham,yes start send request make pain came back im back bed doubl coin factori gotta cash nitro
ham,im realli still tonight babe
ham,ela kanoil download come wen ur free
ham,yeah donû÷t stand close tho youû÷ll catch someth
ham,sorri pain ok meet anoth night spent late afternoon casualti mean havent done stuff42moro includ time sheet sorri
ham,smile pleasur smile pain smile troubl pour like rain smile sum1 hurt u smile becoz someon still love see u smile
spam,plea call custom servic repr 0800 169 6031 10am9pm guarant å£1000 cash å£5000 prize
ham,havent plan buy later check alreadi lido got 530 show e afternoon u finish work alreadi
spam,free rington wait collect simpli text password mix 85069 verifi get usher britney fml
ham,watch telugu moviewat abt u
ham,see finish load loan pay
ham,hi wk ok hol yes bit run forgot hairdress appoint four need get home n shower beforehand caus prob u ham
